,artist,name,id,album,album_id,album_year,track,track_id
0,B1A4,B1A4,3sxWOFw4MSN54SIQ8np6iG,Origine,5VzMQgh8F9GOgNPu7LcZUs,2020-10-19,Intro - Origine,6MPuYicdB0MFMNIy5iUqLk
1,B1A4,B1A4,3lCpELjz2gMtFiekWvw6u9,nan,nan,nan,nan,nan
2,B1A4,Sandeul,2QeJBmgBdpH4i3uJns5Rdx,CASTAWAY DIVA OST Part.9,2CMMWmUcim52sqmzOR712T,2023-11-25,You're leaving like the season,1Pa3xyjrAzYyrkhxDJeLMw
3,B1A4,"B1A4,BTOB(서은광,이창섭),영지(카라),에이젝스,에이프릴,오마이걸,케이시",6OLrMcA0ekdQP5kcoC3CQV,nan,nan,nan,nan,nan
4,B1A4,신우(B1A4),0mHhF7oe3oZ4Gk59dwEem5,Cinderella and four knights OST Part 8,0COKCT1eIbxB4X8QwGPpJY,2016-09-16,사랑을 찾는 방법,4aUqj2D9dkf5GsWinmTDCO
5,B1A4,산들 (이정환) (B1A4),7fwisuDDLpUOvyBnl23mAv,nan,nan,nan,nan,nan
6,B1A4,SANDEUL (B1A4),707W4VdZXbVyV8T3NAkeUP,nan,nan,nan,nan,nan
7,B1A4,B4ND1T,1UpVEcCAtoGb8uXYdwFWjr,Germans,5W2TyhN7b6nf7wJt5pI1gE,2023-11-17,Germans,74ZQKVDFrokj9ONuIA5yvO
8,B1A4,3. & 4. Klasse der Bezirksschule Brittnau 1985,08rI8qXRTJklkjWvUAFj9l,nan,nan,nan,nan,nan
9,B1A4,Van Bass-10 & G4bby,4AJmahRUqC0dLGu9mZLl7o,The Darkness Never Sleeps (Pumpkin 2012 Anthem),1usUHiE6iGBHqgJdBudcK0,2012,The Darkness Never Sleeps (Pumpkin 2012 Anthem) - Radio Edit,2YJ82RkAn324EmqEjGCI8w
10,BOA,BoA,4muJrGMndyYWqZtfk8OWy4,The Greatest,31j85Ibk580CjA2lLhOnBo,2022-05-30,nan,nan
11,BOA,bôa,5jTtGLk1mGFMY5lQOvJYUj,Twilight,7sGYAV0xv7ZfAMzIpMl8m1,2010-04-20,Duvet,42qNWdLKCI41S4uzfamhFM
12,BOA,BOA QG,1urzwf2o9FcFCgcmkPgcgZ,Baby Mamacita,5T9soEuy1TNzL1vLWRR9nt,2023-11-17,nan,nan
13,BOA,Boards of Canada,2VAvhf61GgLYmC6C8anyX1,Tomorrow's Harvest,07Ckd8KDDxcbY5iUXjhuex,2013-06-10,nan,nan
14,BOA,BOA Hunxho,2F3LBiE1vrZao4CoBEkKG6,Still Holding On...,2G6QgAYuKe5mp6Y7Z2nBQT,2023-09-23,Foolish,5hHLdl6sthls8mHgjOVAhu
15,BOA,Board-Man,1w9k3VBVzpKs0LsauO5jBd,Somewhere To Chill,1yC6uWxwHquIYEjQLSxvsO,2023-09-01,Intro,0O43X0bD2BE9kyTTh7W5x1
16,BOA,BOAN,0Ju3YcuK3eL68zOIA1C8Te,Mentiras,47Yci3LmOg99yMqHXhTcFX,2015-06-09,Babylon,0H47ziCa79XAjBKMwIS2V6
17,BOA,Boat,545XHoCXOXRYsNrKjh4uHd,"L' Argent (feat BKO, Boat)",4pw0LJKoKMQngpYJhEfrwP,2023-11-03,nan,nan
18,BOA,BOA,00olqf3UDvJXzJQ0au9qBh,Forever and never,73WcHYdFAM0fec0rNLXwdR,2011-09-30,Push,3YgfFtIjgNEbrZGUs8nxfH
19,BOA,BOA,33a8jjxzxhdxTqwquoL5ir,Into Yellow (BOA Remix),1yoO81VWboIwOXdGV5yBcL,2017-11-10,Into Yellow - BOA Remix,5l7irOWxwQpYVQZsFXnqQV
20,Buzz,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Sonics In The Soul,1YRlTnn02qdI3tOi66xcF8,2022-09-23,nan,nan
21,Buzz,BUZZ,4SdXXEHKFa5NSoh10QxeN2,Memorize,3wfocJUVDxYieCYc0w1Scj,2014-11-26,nan,nan
22,Buzz,Buzz on the Track,1dBKhi7RDKuWyIq6ywgZoY,2REBELZ,08GKSgW06OdVaSyfrxmkHt,2023-11-28,nan,nan
23,Buzz,BuzzCakes,1eDpQwXk6jUr95siMNXU3K,Wireless diary,6kX0NUFtApaTccLjSrNUwz,2022-11-12,Comfort wings,7KIuOKeRakMnXcQyklkvmK
24,Buzz,Buzzy Lee,0cz2DZrX5wGn1XUdIPKYYQ,Internal Affairs,4GReE9BZzLDHz3Z9kJNkom,2023-03-31,Can I Have Your Autograph,5mVQ1FBJkG4ByXCA2hMIN3
25,Buzz,BUZZ,4YXzweXdgnq4xSOpo1ZWxR,On Matters Of Searching,5UoWkkhtFbAlrTEJ9dHaDr,2023-05-19,Running - Intro,0Iz9tmOpTAF6o7Xb7TiU6n
26,Buzz,Buzz Kull,5RtyPqV9c3KizJ8pqJEcZl,Fascination,5jSLfQ44mEYTDAM1T3OxF2,2022-11-25,nan,nan
27,Buzz,Buzzov•en,65W15ubMbKTu32Y1sV1hnK,Unwilling To Explain,53arF5xNZajsrgNLXhQyDD,2019-10-25,nan,nan
28,Buzz,Buzz,72psY0qma8uEbuSXL8LtT5,Street Business,51zVTRP9si2TiCxjQXomIL,2023-04-06,Keria,34Ra6ItNh9U23jMy4uo9iU
29,Buzz,Buzzb,6MZO53JPTJT5nzpTZLSBeE,A mi vera,5zxDitBNjtrFKkqD7JF9lu,2023-11-30,A mi vera,0sHM6zzJM2WyWIKyuSdzaT
30,CAN,CAN,4l8xPGtl6DHR2uvunqrl8r,LIVE IN BRIGHTON 1975,5UEh22XzkizWkbDpxtu50N,2021-12-03,nan,nan
31,CAN,Canserbero,1wGIhYkKWSq4yACtTkCkSX,Give Me 5,3hZTnhf8nDaFuCesjGvyQ3,2016-12-02,nan,nan
32,CAN,CANVA$,5g7bZh1b9n1XXCggZdh0CE,雨点,5Q9jayNOFQ7jsfDW4E54o6,2023-04-05,雨点,2WsKpXgiCXy3ur2lrmppub
33,CAN,Cannons,7FtCyCJCJaxabYO7Uyda5B,Heartbeat Highway,1mBlpKV5enWAZdQxBqZ96r,2023-11-10,Heartbeat Highway,2YbJ0qJ5uqOPfLGvqMLkaK
34,CAN,CANDY,4oWlenweHbPcDXKvyNUbBl,CANDY on Audiotree Live,7Jz1OeanDNMXw1WcBaVxdF,2023-06-07,Human Condition Above Human Opinion - Audiotree Live version,2d9HzGsflXqNHJ56iuMywK
35,CAN,Canciones Para Niños,4WSY9l2NAUBr3ogIfFPdwt,Melodías Famosas Para Niños,5ITF3uBGiJoVLbaDa1hbIG,2023-12-04,nan,nan
36,CAN,Canvas,5cB90DBVKdSGR8ffyI51Eh,"To Love, To Burn",4CUDX2hUD6DBMRArfme9kv,2023-12-01,"To Love, To Burn",6VuNC5AdkT0WASTSXZcWAJ
37,CAN,Candlebox,3R6c2tWDBeYB1GncjLMn9n,The Long Goodbye,5tUJZ21PJj3SinhyroHCsG,2023-08-25,nan,nan
38,CAN,CANVAS,7IRBgVhXtxZoxD2NMXF8nu,Kamikaze Lightshow,7AuAmZC5g7FksD5L9tjew7,2023-01-27,Kamikaze Lightshow,4pQYYmafc3M7WptLGlhxHS
39,CAN,Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,"Cannonball Adderly Quintet Berliner Jazztage / Berlin, November 2nd. 1972 (Restauración 2023)",7v3viWq0XcFNof8JpP8fCK,2023-11-28,nan,nan
40,Cleo,Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,Gold,67DWn1tZ245gendegv7Ioz,2023-09-29,There Will Be No Crying,2v4fvU8my0WUTy0TOTS36l
41,Cleo,Cleo,0ZXDvZqBzwZLsHRXhuTbpR,VINYLOVA,5KJTV3uRutowN0pxWoFDv3,2022-05-20,nan,nan
42,Cleo,cleopatrick,6VTvaLJ9arNmKi8e1ekOwW,BUMMER,3o0iNid084ArLzRpaF5xfz,2021-06-04,VICTORIA PARK,6XY2ANlO9cgPVzojn9BMJQ
43,Cleo,Cleo y Cuquín - Familia Telerín,12uO5kWyKfUn41Gchg2H0x,"Canciones infantiles, Vol.3",2Gqimx1UdoDfu3IpOBMTAl,2023-10-26,nan,nan
44,Cleo,Cleo's Trademark,3y3wvhrKyp9SX3sZU1HREy,wordt (the red project),6e6ahpgTWSHIaNpuKvpSoH,2023-10-06,intro(spective),5XDja3my1Mb5p3zxQKNLxZ
45,Cleo,Cleo DeNile,6cPcHTRjHntyNsIJXCpuLM,nan,nan,nan,nan,nan
46,Cleo,Cleo and Cuquin,1Sa894Mh8bJN39OZEuES9W,"Nursery Rhymes, Vol. 3",2KkhUkJI8UrKUfXodPnCPV,2023-11-30,nan,nan
47,Cleo,Stephen Cleobury,0ugRf6ECGBFRCHlv9iG1No,"Carols from King's College, Cambridge",2XcWMfmt3hsnTjU4aTMBnj,2023-12-01,nan,nan
48,Cleo,Cleo Laine,7GUNyLdzdGxR828EyGvM7k,The Stars of Jazz - Cleo Laine,27jCPx7K9k6CUi1hqqDyoq,2023-02-20,nan,nan
49,Cleo,Cleopold,2BeARYDF52QQk5S2zgiVHe,Alone with You (Lazywax Remix),0P9SMOg4aDG5X8Xc63lbTj,2023-05-19,Alone with You - Lazywax Remix,4jO4c0dhLI3OwCLeYvZSkn
50,COOL,COOL,0w3PsroIezW7uRTNxEJLb9,COOL 11th,1MlY2GKEwQj0mCuK2PzSC7,2009-07-20,nan,nan
51,COOL,Coolio,3y24n3XhZ96wgwRXjvS17T,My Soul (25th Anniversary),5mTHgK21ytgre3yJ86ClYh,2022-10-28,nan,nan
52,COOL,CO0Lf15H,6gSKXCMmpnB6Yd5NPc3i01,WAZZA,6GcGtWeDN1IxShxb3WHNEk,2023-05-10,!,5N0HWLKI71q2O8NfNEXURN
53,COOL,Cool & Dre,2PsjBHyb950JI7BHXY10TD,OK (feat. Young Thug),76GwLI1nybtKiwJ1maeFIw,2023-11-10,nan,nan
54,COOL,COOL&CREATE,6iCaBLgyK2nJqzSkCGrV4L,幻想龍殺蟲毒少女・姫虫百々世,4iKZGfIUadxUQMrCzrugZm,2022-08-14,nan,nan
55,COOL,Cooliecut,19uEVh7y7Y9RfjMphMamXc,Who Killed Wolf?,2FmoZ7UT2yEbPqaPJf7SGj,2023-10-31,Bluff,3JxrtzLQUObDd80trGQYUr
56,COOL,CooL BoMB,1XdGyHmWSfMkZ4p1pJIf7b,CooL BoMBer,7sowSnyzgrpSUDx3ncducp,2018,Paradox 13,4eLpKvLxhy1NHxmKH2RNW0
57,COOL,Cool Company,6lOCVUQbb9wzuZQbZQV9zn,Know Better,5SWaa7bRim9Vmf646cyttw,2023-11-10,Poison In The Well,6o9dEJ8ZIniCWoL9E9HGWp
58,COOL,Cool Bomb,0FdK9CKR43bDTSwvv6YE2K,nan,nan,nan,nan,nan
59,COOL,Cooltime Kids,5Cx0MO39eG4ElGaD1juoZQ,Heavy Rain Serenades for Kids' Serenity,26ENW5jPBtI0dYLyAix79Q,2023-11-29,nan,nan
60,DJ.DOC,DJ DOC,3kDgt4vVKGTLmtC3FkOwWF,"Love & Sex, Happiness 6집",56bpAOGNny76QSL9sgg391,2004-11-09,nan,nan
61,DJ.DOC,"DJ ""D.O.C.""",4cYUeqAGXyqvtPMLSFdprl,Somewhere In Berlin,0wKlyAF9pdjMaHRUPctN28,2023-11-17,Somewhere In Berlin - Extended Mix,1oy7zv8w3wfCOkul9gT5Dv
62,DJ.DOC,DJ Doc,72oQ2XbvjheM8C4qDUT9a2,Syntherapy,5JGInlss1wKvyz3VChnj6d,2020-05-03,Syntherapy,1HtBTkGRBbzU7EZADvwPn1
63,DJ.DOC,DJBDOCK,2jWG22vSr8xR3OheJpBoKj,Mom Bdock Is Making A Christmas Album 2022,5iUvLgoPjhmYGUz26NtrG5,2022-12-25,Intro,4cZnoTYC2XZY0wrdxhT3WW
64,DJ.DOC,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,Four Nights Live in San Francisco,1qhXBQJAkKayUrbt1K6ZA0,2022-12-07,nan,nan
65,DJ.DOC,Dj Doc,7zxbRmYS76STntJ2F0babV,Two Sides One Story,3Tx3mYz4tKjLP9KKoKr9l0,2022-02-07,Two Sides One Story,6eLro7QyMTMnoYDzqk7U6M
66,DJ.DOC,DJ Dollynho Da Lapa,3bc5LOOhGbLvDUcybl3LY8,Setzin do Hexa (Copa do Mundo 2022),649WtNUhgLfhWqpwSMnYro,2022-12-06,"É o Pombo, É o Neymar, Vinícius Jr E Paquetá (Copa do Mundo 2022)",1TQtGMaPyzZLeFuBo8n4dK
